# AGSS09p2-Free-Opal-D5-PartIon-OV02
#
# 1: num      2:age           3:log(Te)         4:log(L/Lo)       5:Xc         6:NmuMax         7:Rmax  8:Tmax         9:NTmax         10:CpMax         11:KappaMax         12:RhoMax    13:R (Ro)    14:log g    15:(Z/X)s       16:Int((Nmu/r)^1.5)         17:RConv    18: Zs    19: Xs    20: Mass    21: C12(0)    22: Mover    22: He3(0)
   29     1.15395E+04     3.64013E+00     1.20946E+00     7.50000E-01     5.61733E-15     2.30257E+11     4.80002E+05     2.09479E-07     3.57484E+08     1.05921E+02     9.08468E-03     7.03283E+00     2.62196E+00     9.14822E-03     1.24203E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36472E-06
   30     1.20721E+04     3.64031E+00     1.20358E+00     7.50000E-01     5.61733E-15     2.31718E+11     4.75763E+05     2.14508E-07     3.57585E+08     1.08481E+02     9.06060E-03     6.97945E+00     2.62858E+00     9.14822E-03     1.25267E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36499E-06
   31     1.26156E+04     3.64049E+00     1.19770E+00     7.50000E-01     5.61733E-15     2.12460E+11     5.23244E+05     1.87878E-07     3.57024E+08     8.92423E+01     1.05797E-02     6.92653E+00     2.63519E+00     9.14822E-03     1.40726E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36530E-06
   32     1.31704E+04     3.64068E+00     1.19182E+00     7.50000E-01     5.61733E-15     2.21451E+11     5.00372E+05     2.03704E-07     3.57337E+08     9.84357E+01     9.99387E-03     6.87406E+00     2.64179E+00     9.14822E-03     1.44202E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36565E-06
   33     1.37367E+04     3.64086E+00     1.18594E+00     7.50000E-01     5.61733E-15     2.19994E+11     5.03648E+05     2.04012E-07     3.57335E+08     9.75549E+01     1.02026E-02     6.82205E+00     2.64839E+00     9.14822E-03     1.45163E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36606E-06
   34     1.43147E+04     3.64103E+00     1.18006E+00     7.50000E-01     5.61733E-15     2.03910E+11     5.45086E+05     1.82349E-07     3.56906E+08     8.33173E+01     1.16261E-02     6.77048E+00     2.65498E+00     9.14822E-03     1.56619E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36652E-06
   35     1.49047E+04     3.64121E+00     1.17419E+00     7.50000E-01     6.15348E-15     2.12337E+11     5.22928E+05     1.97175E-07     3.57181E+08     9.10943E+01     1.10355E-02     6.71935E+00     2.66156E+00     9.14822E-03     1.58921E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36705E-06
   36     1.55069E+04     3.64138E+00     1.16831E+00     7.50000E-01     6.15348E-15     2.28515E+11     4.78928E+05     2.26450E-07     3.57805E+08     1.10225E+02     9.76290E-03     6.66866E+00     2.66814E+00     9.14822E-03     1.71125E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36766E-06
   37     1.61216E+04     3.64156E+00     1.16243E+00     7.50000E-01     5.61733E-15     2.09568E+11     5.29791E+05     1.97791E-07     3.57182E+08     8.95580E+01     1.15002E-02     6.61842E+00     2.67471E+00     9.14822E-03     1.77289E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36835E-06
   38     1.67493E+04     3.64173E+00     1.15656E+00     7.50000E-01     5.02430E-15     1.97226E+11     5.63489E+05     1.81420E-07     3.56861E+08     7.93809E+01     1.27632E-02     6.56860E+00     2.68127E+00     9.14822E-03     1.71185E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.36914E-06
   39     1.73901E+04     3.64190E+00     1.15068E+00     7.50000E-01     5.61733E-15     2.22637E+11     4.92195E+05     2.24991E-07     3.57747E+08     1.05545E+02     1.05089E-02     6.51922E+00     2.68783E+00     9.14822E-03     1.77572E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.37005E-06
   40     1.80443E+04     3.64207E+00     1.14480E+00     7.50000E-01     6.15348E-15     2.17032E+11     5.07236E+05     2.18011E-07     3.57579E+08     9.94598E+01     1.11181E-02     6.47026E+00     2.69437E+00     9.14822E-03     1.89618E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.37109E-06
   41     1.87124E+04     3.64223E+00     1.13893E+00     7.50000E-01     5.02430E-15     1.97890E+11     5.61805E+05     1.89169E-07     3.56988E+08     8.10229E+01     1.31206E-02     6.42173E+00     2.70091E+00     9.14822E-03     1.95059E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.37227E-06
   42     1.93948E+04     3.64240E+00     1.13305E+00     7.50000E-01     5.61733E-15     2.19224E+11     4.98980E+05     2.27783E-07     3.57781E+08     1.04041E+02     1.10794E-02     6.37362E+00     2.70745E+00     9.14822E-03     2.17080E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.37363E-06
   43     2.00917E+04     3.64256E+00     1.12718E+00     7.50000E-01     6.15348E-15     2.17112E+11     5.04204E+05     2.26897E-07     3.57750E+08     1.02247E+02     1.13766E-02     6.32592E+00     2.71397E+00     9.14822E-03     2.38330E-48     0.00000E+00     6.86117E-03     7.50000E-01     1.50200E+33     1.03892E-04     0.00000E+00     6.37517E-06
